,lastname,firstname,gender,type,state,party,bioguideid,cspanid,gt_id,
,Bassett,Richard,M,sen,DE,Anti-Administration,B000226,,401222,
,Bland,Theodorick,,rep,VA,,B000546,,401521,
,Burke,Aedanus,,rep,SC,,B001086,,402032,
,Carroll,Daniel,M,rep,MD,,C000187,,402334,
,Clymer,George,M,rep,PA,,C000538,,402671,
,Contee,Benjamin,M,rep,MD,,C000710,,402834,
,Dalton,Tristram,,sen,MA,Pro-Administration,D000013,,403156,
,Elmer,Jonathan,M,sen,NJ,Pro-Administration,E000155,,403846,
,Few,William,M,sen,GA,Anti-Administration,F000100,,404057,
,Floyd,William,M,rep,NY,,F000224,,404179,
,Gale,George,M,rep,MD,,G000012,,404389,
,Grayson,William,M,sen,VA,Anti-Administration,G000403,,404753,
,Grout,Jonathan,M,rep,MA,,G000500,,404845,
,Hawkins,Benjamin,M,sen,NC,Pro-Administration,H000368,,405237,
,Huntington,Benjamin,M,rep,CT,,H000995,,405835,
,Izard,Ralph,M,sen,SC,Pro-Administration,I000053,,412129,
,Johnson,William,M,sen,CT,Pro-Administration,J000182,,406077,
,Johnston,Samuel,M,sen,NC,Pro-Administration,J000198,,406093,
,Lee,Richard,M,sen,VA,Anti-Administration,L000201,,406704,
,Maclay,William,M,sen,PA,Anti-Administration,M000031,,407058,
,Mathews,George,M,rep,GA,,M000234,,407252,
,Morris,Robert,M,sen,PA,Pro-Administration,M000985,,407953,
,Partridge,George,M,rep,MA,,P000092,,408502,
,Paterson,William,M,sen,NJ,Pro-Administration,P000102,,408510,
,Smith,William,M,rep,MD,,S000624,,410099,
,Stone,Michael,M,rep,MD,,S000961,,410420,
,Van Rensselaer,Jeremiah,M,rep,NY,,V000053,,411095,
,Wynkoop,Henry,M,rep,PA,,W000783,,411931,
,Dickinson,Philemon,,sen,NJ,Pro-Administration,D000324,,403444,
,Walker,John,M,sen,VA,Pro-Administration,W000059,,411238,
,Ashe,John,M,rep,NC,,A000307,,400951,
,Barnwell,Robert,M,rep,SC,,B000167,,401169,
,Burr,Aaron,M,sen,NY,Republican,B001133,,402077,
,Cabot,George,M,sen,MA,Federalist,C000009,,402171,
,Carroll,Charles,M,sen,MD,,C000185,,402332,
,Ellsworth,Oliver,M,sen,CT,Federalist,E000147,,403838,
,Gerry,Elbridge,,rep,MA,,G000139,,404507,
,Huger,Daniel,M,rep,SC,,H000916,,405761,
,Jacobs,Israel,,rep,PA,,J000036,,405941,
,Key,Philip,M,rep,MD,,K000158,,406322,
,Read,George,M,sen,DE,,R000091,,409071,
,Robinson,Moses,M,sen,VT,Republican,R000350,,409321,
,Schoonmaker,Cornelius,M,rep,NY,,S000140,,409648,
,Seney,Joshua,M,rep,MD,,S000242,,409746,
,Sheredine,Upton,,rep,MD,,S000340,,409837,
,Sherman,Roger,M,sen,CT,Pro-Administration,S000349,,409845,
,Silvester,Peter,M,rep,NY,,S000412,,409906,
,Steele,John,M,rep,NC,,S000832,,410296,
,Sterett,Samuel,M,rep,MD,,S000866,,410328,
,Sturges,Jonathan,M,rep,CT,,S001047,,410501,
,Tucker,Thomas,M,rep,SC,,T000403,,410972,
,Wayne,Anthony,M,rep,GA,,W000216,,411384,
,White,Alexander,M,rep,VA,,W000352,,411514,
,Williamson,Hugh,M,rep,NC,Federalist,W000551,,411707,
,Willis,Francis,,rep,GA,,W000560,,411716,
,Edwards,John,M,sen,KY,Anti-Administration,E000075,,403764,
,Potts,Richard,M,sen,MD,Federalist,P000473,,408858,
,Armstrong,James,M,rep,PA,,A000280,,400920,
,Beatty,John,M,rep,NJ,,B000282,,401276,
,Boudinot,Elias,,rep,NJ,,B000661,,401623,
,Bourne,Shearjashub,,rep,MA,,B000671,,401633,
,Bradford,William,M,sen,RI,Federalist,B000739,,401699,
,Cadwalader,Lambert,,rep,NJ,,C000012,,402174,
,Carnes,Thomas,M,rep,GA,,C000163,,402311,
,Clark,Abraham,M,rep,NJ,,C000418,,402557,
,Cobb,David,M,rep,MA,,C000545,,402678,
,Coffin,Peleg,,rep,MA,,C000591,,402720,
,Dawson,William,M,rep,NC,Anti-Administration,D000157,,412032,
,Edwards,Benjamin,M,rep,MD,,E000060,,403755,
,Fitzsimons,Thomas,M,rep,PA,,F000178,,404133,
,Forrest,Uriah,,rep,MD,,F000282,,404232,
,Frelinghuysen,Frederick,M,sen,NJ,Federalist,F000368,,404314,
,Gillon,Alexander,M,rep,SC,,G000211,,404574,
,Gordon,James,M,rep,NY,,G000311,,404669,
,Griffin,Samuel,M,rep,VA,,G000466,,404811,
,Holten,Samuel,M,rep,MA,,H000750,,405601,
,Irvine,William,M,rep,PA,,I000035,,405892,
,Learned,Amasa,,rep,CT,,L000178,,406680,
,Lee,Richard,M,rep,VA,,L000200,,406703,
,Martin,Alexander,M,sen,NC,Republican,M000166,,407188,
