,institution_name,univ_address,city,state,zipcode,chief_name,chief_title,website_url,admin_url,financial_url,app_url,county,longitude,latitude,
,Community College of the Air Force,100 S Turner Blvd,Montgomery,AL,36114-0011,Timothy W. Albrecht,Commandant,http://www.au.af.mil/au/ccaf/,,,,Montgomery County,-86.244501,32.404904,
,Alabama A & M University,4900 Meridian St,Normal,AL,35762,"Dr. Andrew Hugine, Jr.",President,http://www.aamu.edu/,http://www.aamu.edu/admissions/,http://www.aamu.edu/financial_aid/,http://www.aamu.edu/admissions/apply_online.aspx,Madison County,-86.57352,34.78422,
,University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,35294-0110,Carol Z. Garrison,President,http://www.uab.edu,http://main.uab.edu/Sites/apply/,http://main.uab.edu/Sites/apply/financial_aid/,https://studentaffairs.sass.uab.edu/admissions/application/,Jefferson County,-86.80446,33.50096,
,Amridge University,1200 Taylor Rd,Montgomery,AL,36117-3553,Michael Turner,President,http://www.amridgeuniversity.edu,http://www.amridgeuniversity.edu/au_admissions.html,http://www.amridgeuniversity.edu/au_financialaid.html,https://www.amridgeuniversity.edu/Amridge/login.aspx?ReturnUrl=%2fAmridge%2fStudent%2fFormChoice.aspx,Montgomery County,-86.171548,32.365021,
,University of Alabama at Huntsville,301 Sparkman Dr,Huntsville,AL,35899,David B. Williams,President,http://www.uah.edu,http://admissions.uah.edu/,http://finaid.uah.edu/,http://register.uah.edu,Madison County,-86.643936,34.723896,
,Alabama State University,915 S Jackson Street,Montgomery,AL,36101-0271,William H. Harris,President,http://www.alasu.edu,http://www.alasu.edu/admissions,http://www.alasu.edu/finaid/,https://hornetsweb.alasu.edu,Montgomery County,-86.296158,32.36623,
,University of Alabama System Office,401 Queen City Ave,Tuscaloosa,AL,35401,Malcolm Portera,Chancellor,http://www.uasystem.ua.edu,,,,Tuscaloosa County,-87.560429,33.213047,
,The University of Alabama,739 University Blvd,Tuscaloosa,AL,35487-0166,Robert E. Witt,President,http://www.ua.edu/,http://gobama.ua.edu,http://financialaid.ua.edu,http://apply.ua.edu,Tuscaloosa County,-87.54234,33.208811,
,Central Alabama Community College,1675 Cherokee Rd,Alexander City,AL,35010,Stephen Franks,President,http://www.cacc.edu,http://www.cacc.edu/index.php?submenu=Admissions&src=gendocs&ref=Admissions&category=Admissions,http://www.cacc.edu/index.php?submenu=Financial_Aid&src=gendocs&ref=Financial%20Aid&category=Financial%20Aid,,Tallapoosa County,-85.947875,32.924383,
,Athens State University,300 N Beaty St,Athens,AL,35611,Robert Glenn,President,http://www.athens.edu,http://www.athens.edu,http://www.athens.edu,http://www.athens.edu,Limestone County,-86.967621,34.805512,
